PF10417.11	1-cysPrx_C
PF04064.15	DUF384
PF12952.9	DUF3841
PF12953.9	DUF3842
PF12954.9	DUF3843
PF12955.9	DUF3844
PF12956.9	DUF3845
PF12957.9	DUF3846
PF12958.9	DUF3847
PF12959.9	DUF3848
PF12960.9	DUF3849
PF12961.9	DUF3850
PF12962.9	DUF3851
PF12963.9	DUF3852
PF12964.9	DUF3853
PF12965.9	DUF3854
PF12967.9	DUF3855
PF12968.9	DUF3856
PF12969.9	DUF3857
PF12970.9	DUF3858
PF12975.9	DUF3859
PF04074.14	DUF386
PF12976.9	DUF3860
PF12977.9	DUF3861
PF12978.9	DUF3862
PF12979.9	DUF3863
PF12980.9	DUF3864
PF12981.9	DUF3865
PF12982.9	DUF3866
PF12983.9	DUF3867
PF12984.9	DUF3868
PF12985.9	DUF3869
PF12986.9	DUF3870
PF12987.9	DUF3871
PF12989.9	DUF3873
PF12990.9	DUF3874
PF12991.9	DUF3875
PF12992.9	DUF3876
PF12993.9	DUF3877
PF12994.9	DUF3878
PF12995.9	DUF3879
PF12996.9	DUF3880
PF12997.9	DUF3881
PF07066.13	DUF3882
PF13020.8	DUF3883
PF13024.8	DUF3884
PF13021.8	DUF3885
PF13025.8	DUF3886
PF13026.8	DUF3887
PF13027.8	DUF3888
PF13028.8	DUF3889
PF04087.16	DUF389
PF13029.8	DUF3890
PF13030.8	DUF3891
PF13031.8	DUF3892
PF13033.8	DUF3894
PF13034.8	DUF3895
PF13035.8	DUF3896
PF13037.8	DUF3898
PF13038.8	DUF3899
PF13039.8	DUF3900
PF13042.8	DUF3902
PF13043.8	DUF3903
PF13045.8	DUF3905
PF13046.8	DUF3906
PF13047.8	DUF3907
PF13048.8	DUF3908
PF13077.8	DUF3909
PF13049.8	DUF3910
PF13050.8	DUF3911
PF13051.8	DUF3912
PF13052.8	DUF3913
PF13053.8	DUF3914
PF13054.8	DUF3915
PF13079.8	DUF3916
PF13055.8	DUF3917
PF13056.8	DUF3918
PF13057.8	DUF3919
PF13058.8	DUF3920
PF13060.8	DUF3921
PF13059.8	DUF3922
PF13061.8	DUF3923
PF13062.8	DUF3924
PF13063.8	DUF3925
PF13080.8	DUF3926
PF13064.8	DUF3927
PF13065.8	DUF3928
PF13066.8	DUF3929
PF13067.8	DUF3930
PF13082.8	DUF3931
PF13068.8	DUF3932
PF13069.8	DUF3933
PF13070.8	DUF3934
PF13071.8	DUF3935
PF13073.8	DUF3937
PF13074.8	DUF3938
PF13075.8	DUF3939
PF13081.8	DUF3941
PF13078.8	DUF3942
PF13084.8	DUF3943
PF13099.8	DUF3944
PF13101.8	DUF3945
PF13135.8	DUF3947
PF13134.8	DUF3948
PF13133.8	DUF3949
PF13132.8	DUF3950
PF13131.8	DUF3951
PF13130.8	DUF3952
PF13129.8	DUF3953
PF13128.8	DUF3954
PF13127.8	DUF3955
PF13104.8	DUF3956
PF13125.8	DUF3958
PF13105.8	DUF3959
PF13142.8	DUF3960
PF13106.8	DUF3961
PF13124.8	DUF3963
PF13107.8	DUF3964
PF13112.8	DUF3965
PF13110.8	DUF3966
PF13152.8	DUF3967
PF13108.8	DUF3969
PF04149.14	DUF397
PF13113.8	DUF3970
PF13116.8	DUF3971
PF13118.8	DUF3972
PF13119.8	DUF3973
PF13120.8	DUF3974
PF13126.8	DUF3975
PF13121.8	DUF3976
PF13122.8	DUF3977
PF13123.8	DUF3978
PF13141.8	DUF3979
PF13140.8	DUF3980
PF13139.8	DUF3981
PF13138.8	DUF3982
PF13137.8	DUF3983
PF13136.8	DUF3984
PF13153.8	DUF3985
PF13143.8	DUF3986
PF13148.8	DUF3987
PF13151.8	DUF3990
PF13154.8	DUF3991
PF13157.8	DUF3992
PF13158.8	DUF3993
PF13159.8	DUF3994
PF13160.8	DUF3995
PF13161.8	DUF3996
PF13162.8	DUF3997
PF13163.8	DUF3999
PF13170.8	DUF4003
PF13171.8	DUF4004
PF13178.8	DUF4005
PF13179.8	DUF4006
PF13182.8	DUF4007
PF04165.14	DUF401
PF13194.8	DUF4010
PF13195.8	DUF4011
PF13196.8	DUF4012
PF13197.8	DUF4013
PF13198.8	DUF4014
PF13200.8	DUF4015
PF13209.8	DUF4017
PF13210.8	DUF4018
PF13211.8	DUF4019
PF04167.15	DUF402
PF13212.8	DUF4020
PF13213.8	DUF4021
PF13214.8	DUF4022
PF13215.8	DUF4023
PF13216.8	DUF4024
PF13217.8	DUF4025
PF13218.8	DUF4026
PF13219.8	DUF4027
PF13220.8	DUF4028
PF13221.8	DUF4029
PF13222.8	DUF4030
PF13223.8	DUF4031
PF13224.8	DUF4032
PF13226.8	DUF4034
PF13227.8	DUF4035
PF13228.8	DUF4037
PF13204.8	DUF4038
PF13244.8	DUF4040
PF13250.8	DUF4041
PF13251.8	DUF4042
PF13252.8	DUF4043
PF13253.8	DUF4044
PF13254.8	DUF4045
PF13255.8	DUF4046
PF13256.8	DUF4047
PF13257.8	DUF4048
PF13258.8	DUF4049
PF13259.8	DUF4050
PF13261.8	DUF4052
PF13262.8	DUF4054
PF13264.8	DUF4055
PF13265.8	DUF4056
PF13266.8	DUF4057
PF13267.8	DUF4058
PF13268.8	DUF4059
PF04175.14	DUF406
PF13269.8	DUF4060
PF13270.8	DUF4061
PF13271.8	DUF4062
PF13273.8	DUF4064
PF13274.8	DUF4065
PF13282.8	DUF4070
PF13284.8	DUF4072
PF13285.8	DUF4073
PF13293.8	DUF4074
PF13294.8	DUF4075
PF13295.8	DUF4077
PF13300.8	DUF4078
PF13301.8	DUF4079
PF13311.8	DUF4080
PF13312.8	DUF4081
PF13313.8	DUF4082
PF13314.8	DUF4083
PF13321.8	DUF4084
PF13315.8	DUF4085
PF13316.8	DUF4087
PF13317.8	DUF4088
PF13318.8	DUF4089
PF13319.8	DUF4090
PF13320.8	DUF4091
PF13322.8	DUF4092
PF13331.8	DUF4093
PF13334.8	DUF4094
PF13340.8	DUF4096
PF13349.8	DUF4097
PF13351.8	DUF4099
PF13352.8	DUF4100
PF13387.8	DUF4105
PF13388.8	DUF4106
PF13389.8	DUF4107
PF13390.8	DUF4108
PF04214.15	DUF411
PF13422.8	DUF4110
PF13427.8	DUF4111
PF13430.8	DUF4112
PF13438.8	DUF4113
PF13448.8	DUF4114
PF13464.8	DUF4115
PF13475.8	DUF4116
PF13493.8	DUF4118
PF13494.8	DUF4119
PF04217.15	DUF412
PF13496.8	DUF4120
PF13497.8	DUF4121
PF13498.8	DUF4122
PF13503.8	DUF4123
PF13511.8	DUF4124
PF13526.8	DUF4125
PF13548.8	DUF4126
PF13552.8	DUF4127
PF13554.8	DUF4128
PF13559.8	DUF4129
PF04219.14	DUF413
PF13566.8	DUF4130
PF13567.8	DUF4131
PF13569.8	DUF4132
PF13571.8	DUF4133
PF13572.8	DUF4134
PF13575.8	DUF4135
PF13590.8	DUF4136
PF13595.8	DUF4138
PF13598.8	DUF4139
PF13600.8	DUF4140
PF13605.8	DUF4141
PF13628.8	DUF4142
PF13635.8	DUF4143
PF13642.8	DUF4144
PF13643.8	DUF4145
PF13660.8	DUF4147
PF13663.8	DUF4148
PF13664.8	DUF4149
PF13665.8	DUF4150
PF13680.8	DUF4152
PF13687.8	DUF4153
PF13689.8	DUF4154
PF13698.8	DUF4156
PF13699.8	DUF4157
PF13700.8	DUF4158
PF13709.8	DUF4159
PF04222.14	DUF416
PF13711.8	DUF4160
PF13732.8	DUF4162
PF13747.8	DUF4164
PF13752.8	DUF4165
PF13761.8	DUF4166
PF13763.8	DUF4167
PF13767.8	DUF4168
PF13770.8	DUF4169
PF04224.14	DUF417
PF13773.8	DUF4170
PF13775.8	DUF4171
PF13776.8	DUF4172
PF13777.8	DUF4173
PF13778.8	DUF4174
PF13779.8	DUF4175
PF13780.8	DUF4176
PF13783.8	DUF4177
PF13785.8	DUF4178
PF13786.8	DUF4179
PF04235.14	DUF418
PF13788.8	DUF4180
PF13789.8	DUF4181
PF13799.8	DUF4183
PF13803.8	DUF4184
PF13810.8	DUF4185
PF13811.8	DUF4186
PF13821.8	DUF4187
PF13826.8	DUF4188
PF13827.8	DUF4189
PF13828.8	DUF4190
PF13829.8	DUF4191
PF13830.8	DUF4192
PF13834.8	DUF4193
PF13835.8	DUF4194
PF13836.8	DUF4195
PF13846.8	DUF4196
PF13852.8	DUF4197
PF10670.11	DUF4198
PF13858.8	DUF4199
PF04238.14	DUF420
PF13863.8	DUF4200
PF13870.8	DUF4201
PF13875.8	DUF4202
PF13886.8	DUF4203
PF13898.8	DUF4205
PF13904.8	DUF4207
PF13907.8	DUF4208
PF13910.8	DUF4209
PF04239.14	DUF421
PF13915.8	DUF4210
PF13926.8	DUF4211
PF13937.8	DUF4212
PF13938.8	DUF4213
PF13946.8	DUF4214
PF13948.8	DUF4215
PF13952.8	DUF4216
PF13959.8	DUF4217
PF13960.8	DUF4218
PF13961.8	DUF4219
PF13968.8	DUF4220
PF13970.8	DUF4221
PF13973.8	DUF4222
PF13978.8	DUF4223
PF13986.8	DUF4224
PF13988.8	DUF4225
PF10774.11	DUF4226
PF14004.8	DUF4227
PF14012.8	DUF4229
PF04241.17	DUF423
PF14014.8	DUF4230
PF14015.8	DUF4231
PF14016.8	DUF4232
PF14017.8	DUF4233
PF14018.8	DUF4234
PF14019.8	DUF4235
PF14020.8	DUF4236
PF14022.8	DUF4238
PF14023.8	DUF4239
PF04242.15	DUF424
PF14024.8	DUF4240
PF14025.8	DUF4241
PF14026.8	DUF4242
PF14029.8	DUF4244
PF14030.8	DUF4245
PF14033.8	DUF4246
PF14042.8	DUF4247
PF14053.8	DUF4248
PF14054.8	DUF4249
PF14056.8	DUF4250
PF14059.8	DUF4251
PF14060.8	DUF4252
PF14062.8	DUF4253
PF14063.8	DUF4254
PF14066.8	DUF4256
PF14074.8	DUF4257
PF14076.8	DUF4258
PF14078.8	DUF4259
PF14079.8	DUF4260
PF14080.8	DUF4261
PF14081.8	DUF4262
PF14082.8	DUF4263
PF14084.8	DUF4264
PF14085.8	DUF4265
PF14086.8	DUF4266
PF14087.8	DUF4267
PF14088.8	DUF4268
PF14091.8	DUF4269
PF14092.8	DUF4270
PF14093.8	DUF4271
PF14094.8	DUF4272
PF14096.8	DUF4274
PF14101.8	DUF4275
PF14103.8	DUF4276
PF14104.8	DUF4277
PF14105.8	DUF4278
PF14106.8	DUF4279
PF14107.8	DUF4280
PF14108.8	DUF4281
PF14110.8	DUF4282
PF14111.8	DUF4283
PF14112.8	DUF4284
PF14114.8	DUF4286
PF14117.8	DUF4287
PF14119.8	DUF4288
PF04250.15	DUF429
PF14123.8	DUF4290
PF14124.8	DUF4291
PF14125.8	DUF4292
PF14126.8	DUF4293
PF14127.8	DUF4294
PF14128.8	DUF4295
PF14129.8	DUF4296
PF14131.8	DUF4298
PF14132.8	DUF4299
PF01861.18	DUF43
PF14133.8	DUF4300
PF14134.8	DUF4301
PF14135.8	DUF4302
PF14136.8	DUF4303
PF14137.8	DUF4304
PF14146.8	DUF4305
PF14154.8	DUF4306
PF14155.8	DUF4307
PF14172.8	DUF4309
PF14187.8	DUF4310
PF14188.8	DUF4311
PF14189.8	DUF4312
PF14190.8	DUF4313
PF14192.8	DUF4314
PF14193.8	DUF4315
PF14195.8	DUF4316
PF14199.8	DUF4317
PF14201.8	DUF4318
PF04254.15	DUF432
PF14208.8	DUF4320
PF14209.8	DUF4321
PF14210.8	DUF4322
PF14213.8	DUF4325
PF14216.8	DUF4326
PF14217.8	DUF4327
PF14219.8	DUF4328
PF14220.8	DUF4329
PF04255.16	DUF433
PF14221.8	DUF4330
PF14224.8	DUF4331
PF14229.8	DUF4332
PF14230.8	DUF4333
PF14232.8	DUF4334
PF14233.8	DUF4335
PF14234.8	DUF4336
PF14235.8	DUF4337
PF14236.8	DUF4338
PF04256.14	DUF434
PF14238.8	DUF4340
PF14242.8	DUF4342
PF14247.8	DUF4344
PF14248.8	DUF4345
PF14251.8	DUF4346
PF14252.8	DUF4347
PF14254.8	DUF4348
PF14257.8	DUF4349
PF14258.8	DUF4350
PF14261.8	DUF4351
PF11611.10	DUF4352
PF14263.8	DUF4354
PF14265.8	DUF4355
PF14267.8	DUF4357
PF14270.8	DUF4358
PF14271.8	DUF4359
PF04260.14	DUF436
PF14273.8	DUF4360
PF14274.8	DUF4361
PF14275.8	DUF4362
PF14276.8	DUF4363
PF14277.8	DUF4364
PF14280.8	DUF4365
PF14283.8	DUF4366
PF14285.8	DUF4367
PF14287.8	DUF4368
PF14289.8	DUF4369
PF14290.8	DUF4370
PF14291.8	DUF4371
PF14294.8	DUF4372
PF14297.8	DUF4373
PF14298.8	DUF4374
PF14300.8	DUF4375
PF14301.8	DUF4376
PF14302.8	DUF4377
PF14309.8	DUF4378
PF14311.8	DUF4379
PF04282.15	DUF438
PF14315.8	DUF4380
PF14316.8	DUF4381
PF14321.8	DUF4382
PF14325.8	DUF4383
PF14326.8	DUF4384
PF14328.8	DUF4385
PF14329.8	DUF4386
PF14330.8	DUF4387
PF14332.8	DUF4388
PF14333.8	DUF4389
PF14334.8	DUF4390
PF14335.8	DUF4391
PF14336.8	DUF4392
PF14339.8	DUF4394
PF14340.8	DUF4395
PF14342.8	DUF4396
PF14344.8	DUF4397
PF14346.8	DUF4398
PF14347.8	DUF4399
PF04269.14	DUF440
PF14348.8	DUF4400
PF14351.8	DUF4401
PF14352.8	DUF4402
PF14356.8	DUF4403
PF14357.8	DUF4404
PF14358.8	DUF4405
PF14359.8	DUF4406
PF14362.8	DUF4407
PF14364.8	DUF4408
PF04284.15	DUF441
PF14366.8	DUF4410
PF14367.8	DUF4411
PF14371.8	DUF4412
PF14372.8	DUF4413
PF14385.8	DUF4416
PF14386.8	DUF4417
PF14387.8	DUF4418
PF14388.8	DUF4419
PF04273.15	DUF442
PF14390.8	DUF4420
PF14391.8	DUF4421
PF14393.8	DUF4422
PF14394.8	DUF4423
PF14415.8	DUF4424
PF14467.8	DUF4426
PF14468.8	DUF4427
PF14471.8	DUF4428
PF14472.8	DUF4429
PF04276.14	DUF443
PF14478.8	DUF4430
PF14485.8	DUF4431
PF14486.8	DUF4432
PF14488.8	DUF4434
PF14491.8	DUF4435
PF14494.8	DUF4436
PF14499.8	DUF4437
PF14505.8	DUF4438
PF14530.8	DUF4439
PF04285.14	DUF444
PF14534.8	DUF4440
PF14536.8	DUF4441
PF14539.8	DUF4442
PF14544.8	DUF4443
PF14563.8	DUF4444
PF14584.8	DUF4446
PF14590.8	DUF4447
PF14613.8	DUF4449
PF04286.14	DUF445
PF14614.8	DUF4450
PF14616.8	DUF4451
PF14618.8	DUF4452
PF14627.8	DUF4453
PF14628.8	DUF4454
PF14643.8	DUF4455
PF14644.8	DUF4456
PF14652.8	DUF4457
PF14660.8	DUF4458
PF14673.8	DUF4459
PF04287.14	DUF446
PF14687.8	DUF4460
PF14688.8	DUF4461
PF14692.8	DUF4462
PF14713.8	DUF4464
PF14717.8	DUF4465
PF14725.8	DUF4466
PF14729.8	DUF4467
PF14730.8	DUF4468
PF14734.8	DUF4469
PF04289.14	DUF447
PF14737.8	DUF4470
PF14740.8	DUF4471
PF14739.8	DUF4472
PF14747.8	DUF4473
PF14751.8	DUF4474
PF14771.8	DUF4476
PF14780.8	DUF4477
PF14793.8	DUF4478
PF14794.8	DUF4479
PF14800.8	DUF4481
PF14818.8	DUF4482
PF14825.8	DUF4483
PF14831.8	DUF4484
PF14846.8	DUF4485
PF14868.8	DUF4487
PF14869.8	DUF4488
PF14879.8	DUF4489
PF14892.8	DUF4490
PF14898.8	DUF4491
PF14899.8	DUF4492
PF14900.8	DUF4493
PF14902.8	DUF4494
PF14906.8	DUF4495
PF14924.8	DUF4497
PF14926.8	DUF4498
PF14934.8	DUF4499
PF01863.19	DUF45
PF14937.8	DUF4500
PF14946.8	DUF4501
PF14950.8	DUF4502
PF14951.8	DUF4503
PF14953.8	DUF4504
PF14956.8	DUF4505
PF14958.8	DUF4506
PF14964.8	DUF4507
PF14969.8	DUF4508
PF14975.8	DUF4512
PF14983.8	DUF4513
PF14986.8	DUF4514
PF14988.8	DUF4515
PF14990.8	DUF4516
PF15006.8	DUF4517
PF15008.8	DUF4518
PF15012.8	DUF4519
PF04301.15	DUF452
PF15016.8	DUF4520
PF15021.8	DUF4521
PF15022.8	DUF4522
PF15023.8	DUF4523
PF15025.8	DUF4524
PF15027.8	DUF4525
PF15030.8	DUF4527
PF15031.8	DUF4528
PF15032.8	DUF4529
PF15039.8	DUF4530
PF15041.8	DUF4531
PF15046.8	DUF4532
PF15047.8	DUF4533
PF15049.8	DUF4534
PF15054.8	DUF4535
PF15055.8	DUF4536
PF15057.8	DUF4537
PF15061.8	DUF4538
PF04304.15	DUF454
PF15074.8	DUF4541
PF15075.8	DUF4542
PF15076.8	DUF4543
PF15078.8	DUF4545
PF15080.8	DUF4547
PF15081.8	DUF4548
PF15082.8	DUF4549
PF04305.16	DUF455
PF15084.8	DUF4550
PF15087.8	DUF4551
PF15089.8	DUF4552
PF15090.8	DUF4553
PF15091.8	DUF4554
PF15093.8	DUF4555
PF15094.8	DUF4556
PF15104.8	DUF4558
PF15112.8	DUF4559
PF04306.15	DUF456
PF15118.8	DUF4560
PF15123.8	DUF4562
PF15130.8	DUF4566
PF15131.8	DUF4567
PF15132.8	DUF4568
PF15134.8	DUF4570
PF15137.8	DUF4571
PF15139.8	DUF4572
PF15140.8	DUF4573
PF15143.8	DUF4575
PF15144.8	DUF4576
PF15145.8	DUF4577
PF15147.8	DUF4578
PF15158.8	DUF4579
PF15167.8	DUF4581
PF15232.8	DUF4585
PF15239.8	DUF4586
PF15248.8	DUF4587
PF15251.8	DUF4588
PF15252.8	DUF4589
PF04311.15	DUF459
PF15257.8	DUF4590
PF15262.8	DUF4592
PF15266.8	DUF4594
PF15283.8	DUF4595
PF15363.8	DUF4596
PF15366.8	DUF4597
PF15370.8	DUF4598
PF15371.8	DUF4599
PF04312.15	DUF460
PF15372.8	DUF4600
PF15373.8	DUF4601
PF15375.8	DUF4602
PF15376.8	DUF4603
PF15377.8	DUF4604
PF15378.8	DUF4605
PF15379.8	DUF4606
PF15380.8	DUF4607
PF15382.8	DUF4609
PF15387.8	DUF4611
PF15389.8	DUF4612
PF15391.8	DUF4614
PF15393.8	DUF4615
PF15394.8	DUF4616
PF15395.8	DUF4617
PF15397.8	DUF4618
PF15398.8	DUF4619
PF15399.8	DUF4620
PF15414.8	DUF4621
PF15416.8	DUF4623
PF15417.8	DUF4624
PF15418.8	DUF4625
PF15425.8	DUF4627
PF15429.8	DUF4628
PF15442.8	DUF4629
PF04317.14	DUF463
PF15443.8	DUF4630
PF15451.8	DUF4632
PF15464.8	DUF4633
PF15465.8	DUF4634
PF15466.8	DUF4635
PF15468.8	DUF4636
PF15470.8	DUF4637
PF15472.8	DUF4638
PF15479.8	DUF4639
PF15480.8	DUF4640
PF15483.8	DUF4641
PF15484.8	DUF4642
PF15485.8	DUF4643
PF15486.8	DUF4644
PF15488.8	DUF4645
PF15496.8	DUF4646
PF15504.8	DUF4647
PF15505.8	DUF4648
PF15507.8	DUF4649
PF04325.15	DUF465
PF15509.8	DUF4650
PF15513.8	DUF4651
PF15525.8	DUF4652
PF15546.8	DUF4653
PF15548.8	DUF4655
PF15551.8	DUF4656
PF15552.8	DUF4657
PF15555.8	DUF4658
PF15558.8	DUF4659
PF15559.8	DUF4660
PF15576.8	DUF4661
PF15578.8	DUF4662
PF15668.7	DUF4663
PF15679.7	DUF4665
PF15697.7	DUF4666
PF15700.7	DUF4667
PF15701.7	DUF4668
PF15709.7	DUF4670
PF15716.7	DUF4672
PF15719.7	DUF4674
PF15720.7	DUF4675
PF15726.7	DUF4677
PF15727.7	DUF4678
PF15728.7	DUF4679
PF04318.14	DUF468
PF15730.7	DUF4680
PF15732.7	DUF4681
PF15733.7	DUF4682
PF15735.7	DUF4683
PF15736.7	DUF4684
PF15737.7	DUF4685
PF15742.7	DUF4686
PF15747.7	DUF4687
PF15752.7	DUF4688
PF15755.7	DUF4689
PF15756.7	DUF4690
PF15762.7	DUF4691
PF15763.7	DUF4692
PF15764.7	DUF4693
PF15765.7	DUF4694
PF15766.7	DUF4695
PF15767.7	DUF4696
PF15769.7	DUF4698
PF15770.7	DUF4699
PF15773.7	DUF4701
PF15774.7	DUF4702
PF15775.7	DUF4703
PF15787.7	DUF4704
PF15788.7	DUF4705
PF15797.7	DUF4706
PF15806.7	DUF4707
PF15813.7	DUF4708
PF15821.7	DUF4709
PF15828.7	DUF4710
PF15829.7	DUF4711
PF15830.7	DUF4712
PF15831.7	DUF4713
PF15833.7	DUF4714
PF15835.7	DUF4715
PF15837.7	DUF4716
PF15842.7	DUF4718
PF15843.7	DUF4719
PF15846.7	DUF4720
PF15849.7	DUF4722
PF15851.7	DUF4723
PF15852.7	DUF4724
PF15855.7	DUF4726
PF15856.7	DUF4727
PF15860.7	DUF4728
PF15866.7	DUF4729
PF04322.14	DUF473
PF15873.7	DUF4730
PF15875.7	DUF4731
PF15876.7	DUF4732
PF15878.7	DUF4733
PF15881.7	DUF4734
PF15882.7	DUF4735
PF15883.7	DUF4736
PF15889.7	DUF4738
PF15893.7	DUF4739
PF15897.7	DUF4741
PF15916.7	DUF4743
PF15918.7	DUF4744
PF15923.7	DUF4745
PF15928.7	DUF4746
PF15931.7	DUF4747
PF15932.7	DUF4748
PF15936.7	DUF4749
PF04332.17	DUF475
PF15938.7	DUF4750
PF15942.7	DUF4751
PF15944.7	DUF4752
PF15946.7	DUF4754
PF15947.7	DUF4755
PF15948.7	DUF4756
PF15949.7	DUF4757
PF15950.7	DUF4758
PF15956.7	DUF4760
PF15958.7	DUF4761
PF15959.7	DUF4762
PF15960.7	DUF4763
PF15961.7	DUF4764
PF15962.7	DUF4765
PF15973.7	DUF4766
PF15983.7	DUF4767
PF15989.7	DUF4768
PF15992.7	DUF4769
PF15994.7	DUF4770
PF15995.7	DUF4771
PF15997.7	DUF4772
PF15998.7	DUF4773
PF15999.7	DUF4774
PF16001.7	DUF4775
PF16003.7	DUF4776
PF16007.7	DUF4777
PF16008.7	DUF4778
PF16009.7	DUF4779
PF04334.14	DUF478
PF16012.7	DUF4780
PF16013.7	DUF4781
PF16022.7	DUF4783
PF16023.7	DUF4784
PF16024.7	DUF4785
PF16027.7	DUF4786
PF16029.7	DUF4787
PF16032.7	DUF4788
PF16033.7	DUF4789
PF16037.7	DUF4790
PF16039.7	DUF4791
PF16040.7	DUF4792
PF16041.7	DUF4793
PF16042.7	DUF4794
PF16043.7	DUF4795
PF16044.7	DUF4796
PF16051.7	DUF4797
PF16055.7	DUF4798
PF16056.7	DUF4799
PF04337.14	DUF480
PF16057.7	DUF4800
PF16059.7	DUF4801
PF16060.7	DUF4802
PF16061.7	DUF4803
PF16062.7	DUF4804
PF16063.7	DUF4805
PF16064.7	DUF4806
PF16065.7	DUF4807
PF16066.7	DUF4808
PF16067.7	DUF4809
PF04338.14	DUF481
PF16068.7	DUF4810
PF16069.7	DUF4811
PF16071.7	DUF4812
PF16072.7	DUF4813
PF16075.7	DUF4815
PF16086.7	DUF4816
PF16087.7	DUF4817
PF16089.7	DUF4818
PF16090.7	DUF4819
PF16091.7	DUF4820
PF16092.7	DUF4821
PF16103.7	DUF4822
PF16105.7	DUF4823
PF16106.7	DUF4824
PF16107.7	DUF4825
PF16108.7	DUF4826
PF16109.7	DUF4827
PF16110.7	DUF4828
PF16111.7	DUF4829
PF04467.14	DUF483
PF16112.7	DUF4830
PF16115.7	DUF4831
PF16116.7	DUF4832
PF16117.7	DUF4833
PF16118.7	DUF4834
PF16119.7	DUF4835
PF16120.7	DUF4836
PF16125.7	DUF4837
PF16126.7	DUF4838
PF16127.7	DUF4839
PF04340.14	DUF484
PF16128.7	DUF4840
PF16129.7	DUF4841
PF16130.7	DUF4842
PF16132.7	DUF4843
PF16133.7	DUF4844
PF16137.7	DUF4845
PF16138.7	DUF4846
PF16139.7	DUF4847
PF16140.7	DUF4848
PF16141.7	DUF4849
PF04341.14	DUF485
PF16142.7	DUF4850
PF16143.7	DUF4851
PF16144.7	DUF4852
PF16145.7	DUF4853
PF16146.7	DUF4854
PF16147.7	DUF4855
PF16148.7	DUF4856
PF16149.7	DUF4857
PF16150.7	DUF4858
PF16151.7	DUF4859
PF16152.7	DUF4860
PF16153.7	DUF4861
PF16154.7	DUF4862
PF16155.7	DUF4863
PF16156.7	DUF4864
PF16157.7	DUF4865
PF16160.7	DUF4866
PF16161.7	DUF4867
PF16162.7	DUF4868
PF16163.7	DUF4869
PF09685.12	DUF4870
PF16167.7	DUF4871
PF16169.7	DUF4872
PF16170.7	DUF4873
PF16173.7	DUF4874
PF16175.7	DUF4875
PF16215.7	DUF4876
PF12870.9	DUF4878
PF16219.7	DUF4879
PF04343.15	DUF488
PF16220.7	DUF4880
PF16222.7	DUF4881
PF16223.7	DUF4882
PF16224.7	DUF4883
PF16225.7	DUF4884
PF16226.7	DUF4885
PF16227.7	DUF4886
PF16228.7	DUF4887
PF16229.7	DUF4888
PF16230.7	DUF4889
PF04356.14	DUF489
PF16231.7	DUF4890
PF16232.7	DUF4891
PF16234.7	DUF4892
PF16233.7	DUF4893
PF16235.7	DUF4894
PF16236.7	DUF4895
PF16237.7	DUF4896
PF16238.7	DUF4897
PF16239.7	DUF4898
PF16240.7	DUF4899
PF16241.7	DUF4900
PF16244.7	DUF4901
PF16245.7	DUF4902
PF16246.7	DUF4903
PF16247.7	DUF4904
PF16248.7	DUF4905
PF16249.7	DUF4906
PF16250.7	DUF4907
PF16252.7	DUF4908
PF16253.7	DUF4909
PF16254.7	DUF4910
PF16256.7	DUF4911
PF16258.7	DUF4912
PF16259.7	DUF4913
PF16260.7	DUF4914
PF16261.7	DUF4915
PF16262.7	DUF4916
PF16263.7	DUF4917
PF16265.7	DUF4918
PF16266.7	DUF4919
PF16267.7	DUF4920
PF16268.7	DUF4921
PF16269.7	DUF4922
PF16270.7	DUF4923
PF16271.7	DUF4924
PF16272.7	DUF4925
PF16277.7	DUF4926
PF16279.7	DUF4927
PF16280.7	DUF4928
PF16283.7	DUF4929
PF04359.16	DUF493
PF16284.7	DUF4930
PF16285.7	DUF4931
PF16286.7	DUF4932
PF16287.7	DUF4933
PF16288.7	DUF4934
PF16290.7	DUF4936
PF16291.7	DUF4937
PF16292.7	DUF4938
PF16297.7	DUF4939
PF04361.15	DUF494
PF16298.7	DUF4940
PF16299.7	DUF4941
PF13708.8	DUF4942
PF16301.7	DUF4943
PF16302.7	DUF4944
PF16303.7	DUF4945
PF16304.7	DUF4946
PF16305.7	DUF4947
PF16306.7	DUF4948
PF16307.7	DUF4949
PF16308.7	DUF4950
PF16309.7	DUF4951
PF16310.7	DUF4952
PF16313.7	DUF4953
PF16314.7	DUF4954
PF16315.7	DUF4955
PF16316.7	DUF4956
PF16318.7	DUF4957
PF16319.7	DUF4958
PF16323.7	DUF4959
PF04363.14	DUF496
PF16324.7	DUF4960
PF16328.7	DUF4961
PF16332.7	DUF4962
PF16334.7	DUF4964
PF16335.7	DUF4965
PF16338.7	DUF4968
PF16339.7	DUF4969
PF16341.7	DUF4971
PF16342.7	DUF4972
PF16343.7	DUF4973
PF16344.7	DUF4974
PF16346.7	DUF4975
PF16347.7	DUF4976
PF16349.7	DUF4978
PF16351.7	DUF4979
PF04430.16	DUF498
PF16352.7	DUF4980
PF16353.7	DUF4981
PF16355.7	DUF4982
PF16356.7	DUF4983
PF16372.7	DUF4984
PF16373.7	DUF4985
PF16375.7	DUF4986
PF16377.7	DUF4987
PF16378.7	DUF4988
PF16379.7	DUF4989
PF04465.14	DUF499
PF16380.7	DUF4990
PF16383.7	DUF4992
PF16384.7	DUF4993
PF16385.7	DUF4994
PF16386.7	DUF4995
PF16387.7	DUF4996
